"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","FAILURE","2022-12-23T17:55:23.236+05:30[Asia/Calcutta]","0.0","55.93"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","SUCCESS","2022-12-23T17:59:58.609+05:30[Asia/Calcutta]","0.0","33.54"
