"Story","Title","Result","Date","Stability","Duration (s)"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to update arrival line and arrival receipt type data before finalizing","SUCCESS","2022-12-23T17:56:19.239+05:30[Asia/Calcutta]","0.0","66.44"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to delete arrival line and arrival receipt type data before finalizing","SUCCESS","2022-12-23T17:57:25.718+05:30[Asia/Calcutta]","0.0","67.15"
