"Story","Title","Result","Date","Stability","Duration (s)"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","SUCCESS","2022-12-23T17:59:05.233+05:30[Asia/Calcutta]","0.0","26.72"
"Store Data tab in SMT application for Store Operator user","Verify user is able to update storage data","SUCCESS","2022-12-23T17:59:31.974+05:30[Asia/Calcutta]","0.0","26.61"
